3.56553e+03 160.728 3400 1
3450 1 3.70995e+03 166.386
3.10314e+03 131.952 3800 1
3300 1 3.47163e+03 142.469
3.38233e+03 146.134 3850 1
3450 1 3682.7 142.689
3.21614e+03 126.363 4050 1
3575 1 3.83493e+03 168.697
3.44970e+03 132.685 4150 1
3750 1 3.97753e+03 165.341
3.65950e+03 135.084 4450 1
3800 1 4.07037e+03 249.658
3.74454e+03 132.401 4400 1
3975 1 4.27354e+03 436.662
3.79802e+03 115.97 4650 1
3875 1 4.25088e+03 600.508
